352
   1      1    2    3    1    2    3    1    2    3
   2      3    4    1    3    4    1    3    4    1
   3      2    5    3    2    5    3    2    5    3
   4      6    7    3    6    7    3    6    7    3
   5      3    5    6    3    5    6    3    5    6
   6      8    4    3    8    4    3    8    4    3
   7      3    7    8    3    7    8    3    7    8
   8      9   10   11    9   10   11    9   10   11
   9     11   12    9   11   12    9   11   12    9
  10     13   14   11   13   14   11   13   14   11
  11     11   10   13   11   10   13   11   10   13
  12     15   16   11   15   16   11   15   16   11
  13     11   14   15   11   14   15   11   14   15
  14     16   17   12   16   17   12   16   17   12
  15     12   11   16   12   11   16   12   11   16
  16     15   14   18   15   14   18   15   14   18
  17     13   19   14   13   19   14   13   19   14
  18     20   18   14   20   18   14   20   18   14
  19     14   19   20   14   19   20   14   19   20
  20     21   22   23   21   22   23   21   22   23
  21     23   24   21   23   24   21   23   24   21
  22     25   26   23   25   26   23   25   26   23
  23     23   22   25   23   22   25   23   22   25
  24     27   28   23   27   28   23   27   28   23
  25     23   26   27   23   26   27   23   26   27
  26     29   24   23   29   24   23   29   24   23
  27     23   28   29   23   28   29   23   28   29
  28     30   31   32   30   31   32   30   31   32
  29     33   32   31   33   32   31   33   32   31
  30     34   35   36   34   35   36   34   35   36
  31     36   37   34   36   37   34   36   37   34
  32     38   39   36   38   39   36   38   39   36
  33     36   35   38   36   35   38   36   35   38
  34      1    4   36    1    4   36    1    4   36
  35     36   39    1   36   39    1   36   39    1
  36      8   37   36    8   37   36    8   37   36
  37     36    4    8   36    4    8   36    4    8
  38     29   40   41   29   40   41   29   40   41
  39     41   24   29   41   24   29   41   24   29
  40     38   35   41   38   35   41   38   35   41
  41     41   40   38   41   40   38   41   40   38
  42     34   42   41   34   42   41   34   42   41
  43     41   35   34   41   35   34   41   35   34
  44     21   24   41   21   24   41   21   24   41
  45     41   42   21   41   42   21   41   42   21
  46     20   43   44   20   43   44   20   43   44
  47     44   45   20   44   45   20   44   45   20
  48     46   47   44   46   47   44   46   47   44
  49     44   43   46   44   43   46   44   43   46
  50     48   49   44   48   49   44   48   49   44
  51     44   47   48   44   47   48   44   47   48
  52     50   45   44   50   45   44   50   45   44
  53     44   49   50   44   49   50   44   49   50
  54     46   51   52   46   51   52   46   51   52
  55     52   47   46   52   47   46   52   47   46
  56     53   54   52   53   54   52   53   54   52
  57     52   51   53   52   51   53   52   51   53
  58     55   56   52   55   56   52   55   56   52
  59     52   54   55   52   54   55   52   54   55
  60     48   47   52   48   47   52   48   47   52
  61     52   56   48   52   56   48   52   56   48
  62      9   57   58    9   57   58    9   57   58
  63     58   10    9   58   10    9   58   10    9
  64     59   60   58   59   60   58   59   60   58
  65     58   57   59   58   57   59   58   57   59
  66     61   62   58   61   62   58   61   62   58
  67     58   60   61   58   60   61   58   60   61
  68     13   10   58   13   10   58   13   10   58
  69     58   62   13   58   62   13   58   62   13
  70     63   64   65   63   64   65   63   64   65
  71     65   66   63   65   66   63   65   66   63
  72     67   68   65   67   68   65   67   68   65
  73     65   64   67   65   64   67   65   64   67
  74     61   60   65   61   60   65   61   60   65
  75     65   68   61   65   68   61   65   68   61
  76     59   66   65   59   66   65   59   66   65
  77     65   60   59   65   60   59   65   60   59
  78     53   51   69   53   51   69   53   51   69
  79     69   70   53   69   70   53   69   70   53
  80     46   71   69   46   71   69   46   71   69
  81     69   51   46   69   51   46   69   51   46
  82     61   68   69   61   68   69   61   68   69
  83     69   71   61   69   71   61   69   71   61
  84     67   70   69   67   70   69   67   70   69
  85     69   68   67   69   68   67   69   68   67
  86     20   19   72   20   19   72   20   19   72
  87     72   43   20   72   43   20   72   43   20
  88     13   62   72   13   62   72   13   62   72
  89     72   19   13   72   19   13   72   19   13
  90     61   71   72   61   71   72   61   71   72
  91     72   62   61   72   62   61   72   62   61
  92     46   43   72   46   43   72   46   43   72
  93     72   71   46   72   71   46   72   71   46
  94     15   18   73   15   18   73   15   18   73
  95     20   45   73   20   45   73   20   45   73
  96     73   18   20   73   18   20   73   18   20
  97     50   73   45   50   73   45   50   73   45
  98     53   70   74   53   70   74   53   70   74
  99     74   75   53   74   75   53   74   75   53
 100     67   76   74   67   76   74   67   76   74
 101     74   70   67   74   70   67   74   70   67
 102     34   37   74   34   37   74   34   37   74
 103     74   76   34   74   76   34   74   76   34
 104      8   75   74    8   75   74    8   75   74
 105     74   37    8   74   37    8   74   37    8
 106     63   77   78   63   77   78   63   77   78
 107     78   64   63   78   64   63   78   64   63
 108     21   42   78   21   42   78   21   42   78
 109     78   77   21   78   77   21   78   77   21
 110     34   76   78   34   76   78   34   76   78
 111     78   42   34   78   42   34   78   42   34
 112     67   64   78   67   64   78   67   64   78
 113     78   76   67   78   76   67   78   76   67
 114      9   12   79    9   12   79    9   12   79
 115     79   80    9   79   80    9   79   80    9
 116     12   17   81   12   17   81   12   17   81
 117     81   79   12   81   79   12   81   79   12
 118     81   82   83   81   82   83   81   82   83
 119     83   79   81   83   79   81   83   79   81
 120     84   80   79   84   80   79   84   80   79
 121     79   83   84   79   83   84   79   83   84
 122     63   85   86   63   85   86   63   85   86
 123     86   77   63   86   77   63   86   77   63
 124     87   88   86   87   88   86   87   88   86
 125     86   85   87   86   85   87   86   85   87
 126     25   22   86   25   22   86   25   22   86
 127     86   88   25   86   88   25   86   88   25
 128     21   77   86   21   77   86   21   77   86
 129     86   22   21   86   22   21   86   22   21
 130     63   66   89   63   66   89   63   66   89
 131     89   85   63   89   85   63   89   85   63
 132     59   90   89   59   90   89   59   90   89
 133     89   66   59   89   66   59   89   66   59
 134     91   92   89   91   92   89   91   92   89
 135     89   90   91   89   90   91   89   90   91
 136     87   85   89   87   85   89   87   85   89
 137     89   92   87   89   92   87   89   92   87
 138      9   80   93    9   80   93    9   80   93
 139     93   57    9   93   57    9   93   57    9
 140     84   94   93   84   94   93   84   94   93
 141     93   80   84   93   80   84   93   80   84
 142     91   90   93   91   90   93   91   90   93
 143     93   94   91   93   94   91   93   94   91
 144     59   57   93   59   57   93   59   57   93
 145     93   90   59   93   90   59   93   90   59
 146     32   95   30   32   95   30   32   95   30
 147     96   97   98   96   97   98   96   97   98
 148     98   99   96   98   99   96   98   99   96
 149     33   97   96   33   97   96   33   97   96
 150     96   32   33   96   32   33   96   32   33
 151     99   98  100   99   98  100   99   98  100
 152    100  101   99  100  101   99  100  101   99
 153    102  101  100  102  101  100  102  101  100
 154    100  103  102  100  103  102  100  103  102
 155     53   75  104   53   75  104   53   75  104
 156    104   54   53  104   54   53  104   54   53
 157      8    7  104    8    7  104    8    7  104
 158    104   75    8  104   75    8  104   75    8
 159      6  105  104    6  105  104    6  105  104
 160    104    7    6  104    7    6  104    7    6
